 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
 8444414668503 ;ES ;ANCHIETA ;ANCHIETA ;AVENIDA SAMARCO, N. SN, LT 17/18/19/20D QD 52 ;155.000,00;155.000,00;0.00;Casa, 0.00 de área total, 48.02 de área privativa, 125.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414668503
 1555540090519 ;ES ;ARACRUZ ;MAR AZUL ;RUA UBERLANDIA, N. SN, LT 08 QD 73 ;754.000,00;754.000,00;0.00;Casa, 0.00 de área total, 303.07 de área privativa, 420.00 de área do terreno,  6 qto(s), varanda, WC, 2 sala(s), 2 lavabo(s), cozinha, 4 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555540090519
 1444401517546 ;ES ;ARACRUZ ;RESIDENCIAL SOLAR BITTI ;RUA LUCIA BELMIRA PIANCA SCOPEL ANTIGO LUGAR SAUAS, N. 469, QD 22 LT 03 ;355.000,00;355.000,00;0.00;Casa, 0.00 de área total, 73.51 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401517546
 8787702822519 ;ES ;CACHOEIRO DE ITAPEMIRIM ;SAO LUCAS ;AVENIDA LEOPOLDINA SMARZARO, N. 322, Apto 204, BLOCO 05 ;88.117,80;159.000,00;44.58;Apartamento, 0.00 de área total, 45.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787702822519
 8555535593441 ;ES ;CACHOEIRO DE ITAPEMIRIM ;SAO FRANCISCO DE ASSIS ;RUA OZIL PASSONI, N. 104 A 11, Apto 407, BLOCO 02 ;91.700,00;131.000,00;30.00;Apartamento, 0.00 de área total, 49.49 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535593441
 8787700824417 ;ES ;CACHOEIRO DE ITAPEMIRIM ;SAO LUCAS ;AVENIDA LEOPOLDINA SMARZARO, N. 322, Apto 105, BL 02 ;100.100,00;143.000,00;30.00;Apartamento, 0.00 de área total, 45.30 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700824417
 8555531245058 ;ES ;CACHOEIRO DE ITAPEMIRIM ;PARAISO ;RUA ALBERICO GUILHERME ROSA, N. 102, Apto 503, BL 01A, 3 PAV, VG 45 ;142.699,24;165.000,00;13.52;Apartamento, 0.00 de área total, 54.37 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555531245058
 8555535294312 ;ES ;CACHOEIRO DE ITAPEMIRIM ;SAO FRANCISCO DE ASSIS ;RUA OZIL PASSONI N 104 407 01, N. 104, Apto 407, BL 01 ;165.000,00;140.000,00;0.00;Apartamento, 0.00 de área total, 49.49 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535294312
 8444406891240 ;ES ;CARIACICA ;NOVA BRASILIA ;RUA DO CANAL QD 34 LT 09, N. SN, QD 34 LT 09 ;87.838,50;155.000,00;43.33;Casa, 0.00 de área total, 157.51 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406891240
 8444411342470 ;ES ;CARIACICA ;CACAROCA ;RUA GUAIAPOS, N. SN, QD 02, LT 10 ;84.366,40;134.000,00;37.04;Casa, 53.25 de área total, 53.25 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411342470
