N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
 8444406351156 ;ES ;ANCHIETA ;ANCHIETA ; RUA DR. JAIRO DE MATTOS PEREIRA, N. SN, LT 23A QD 20 ;187.000,00;187.000,00;0.00;Casa, 71.50 de área total, 51.51 de área privativa, 180.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406351156
 8444417554380 ;ES ;ARACRUZ ;CUPIDO ;RUA ROBERTO CAMPOS, N. SN, CS 01 QD 16 LT 20 ;185.000,00;185.000,00;0.00;Casa, 49.80 de área total, 49.80 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444417554380
 8555534525043 ;ES ;CACHOEIRO DE ITAPEMIRIM ;SAO FRANCISCO DE ASSIS ;RUA OZIL PASSONI, N. 104, Apto 205, BL 01 PAVIM 01 GARAGEM 18 ;156.457,00;156.457,00;0.00;Apartamento, 77.64 de área total, 49.49 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555534525043
 8444415646015 ;ES ;CARIACICA ;VISTA DOURADA ;RUA DAS ORQUIDEAS, N. 224B, LOTE 224B ;88.701,62;165.000,00;46.25;Casa, 0.00 de área total, 52.76 de área privativa, 292.74 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415646015
 8787711506691 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. SN, Apto 204, BL 14, VG 113 ;200.000,00;200.000,00;0.00;Apartamento, 0.00 de área total, 41.85 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711506691
 8787713413828 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. S/N, Apto 301, BL 05, VG N°  50 ;185.000,00;185.000,00;0.00;Apartamento, 60.59 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713413828
 8787715091909 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 403, BLOCO 06 ;177.000,00;177.000,00;0.00;Apartamento, 59.40 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787715091909
 8787713311243 ;ES ;CARIACICA ;TUCUM ;RUA SAO PAULO APOSTOLO, N. 0, Apto 404, 4º PAVIMENTO - BLOCO 12 ;204.884,00;185.000,00;0.00;Apartamento, 60.59 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713311243
 8787713718556 ;ES ;CARIACICA ;JARDIM DE ALAH ;RUA TREZE, N. 160, Apto 403, BL 16 ;185.000,00;151.000,00;0.00;Apartamento, 59.40 de área total, 40.82 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713718556
 8444419051199 ;ES ;CARIACICA ;JARDIM CAMPO GRANDE ;AVENIDA RIO GRANDO DO NORTE, N. 984,  CS 2 LT 11 QD 03 ;230.000,00;158.000,00;0.00;Casa, 0.00 de área total, 45.82 de área privativa, 126.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419051199
 1444414297043 ;ES ;CARIACICA ;VILA CAPIXABA ;RUA ANGELO LOVATTI, N. 113, Apto 401, BL C, VG 04, LT 01 ;212.000,00;145.000,00;0.00;Apartamento, 0.00 de área total, 47.80 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414297043
 8444427465614 ;ES ;COLATINA ;AYRTON SENNA ;RUA LEANDRO RODRIGUES DE SOUZA, N. 84, LOTE 12 QUADRA 376 ;89.621,18;181.000,00;50.49;Casa, 0.00 de área total, 82.84 de área privativa, 145.87 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444427465614
 1444407414072 ;ES ;COLATINA ;SAO SILVANO ;RUA GUIOMAR SCARPAT, N. 149, 02B ;438.006,95;280.000,00;0.00;Casa, 91.49 de área total, 91.49 de área privativa, 100.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407414072
 8555531245724 ;ES ;GUARAPARI ;PRAIA DO MORRO ;RUA BENEDITO DE OLIVEIRA COUTINHO, N. 50, Apto 106, TERREO RUA A ;360.000,00;360.000,00;0.00;Apartamento, 121.38 de área total, 80.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555531245724
 1444406074090 ;ES ;GUARAPARI ;PRAIA DO MORRO ;AVENIDA ROBERTO SIMOES COSTA, N. 283, Apto 202, VG 202 LT 27 QD 12 ;320.000,00;284.000,00;0.00;Apartamento, 91.96 de área total, 57.54 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406074090
 1444419505094 ;ES ;ITAPEMIRIM ;PRAIA DE ITAIPAVA ; R DEOZOLINA VIANA DE AGUIAR, N. 181, CS 02 ;312.250,69;285.000,00;0.00;Casa, 122.96 de área total, 107.46 de área privativa, 250.70 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419505094
 1444407958960 ;ES ;LINHARES ;MOVELAR ;RUA ODILON NUNES BARROSO, N. 755, Apto 305, EDIFICIO-10 ;101.904,73;165.000,00;38.24;Apartamento, 0.00 de área total, 62.09 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407958960
 8787700737166 ;ES ;LINHARES ;SAO JOSE ;AVENIDA HENRIQUE GABURRO, N. 100, Apto 405, BL 08 ;209.000,00;209.000,00;0.00;Apartamento, 47.89 de área total, 47.89 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787700737166
 8787701498599 ;ES ;LINHARES ;SAO JOSE ;AVENIDA HENRIQUE GABURRO, N. 100, Apto 305, BL 7 ;217.800,00;217.800,00;0.00;Apartamento, 0.00 de área total, 47.89 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701498599
 8444409096432 ;ES ;NOVA VENECIA ;RUBIA ;RUA PAPAZANAC, N. 0, LT 07 QD 14 ;65.294,05;133.000,00;50.91;Casa, 0.00 de área total, 48.74 de área privativa, 240.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409096432
 1444407147376 ;ES ;SAO MATEUS ;FORNO VELHO ;RUA DEZ, N.  41, QD.07 ;248.552,58;390.000,00;36.27;Casa, 0.00 de área total, 0.01 de área privativa, 180.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407147376
 1444405297400 ;ES ;SAO MATEUS ;GURIRI SUL ;RUA PROFESSOR AMARO NASCIMENTO MENDES, N. 1104, QD 03 LT 14 ;548.411,10;415.000,00;0.00;Casa, 0.00 de área total, 114.22 de área privativa, 300.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405297400
 8555513372930 ;ES ;SAO MATEUS ;GURIRI NORTE ;RUA GENTIL OTAVIANO FUNDAO SANTOS, N. 326, LT 07B, QD 26 ;204.002,48;120.000,00;0.00;Casa, 0.00 de área total, 61.86 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513372930
 10006842 ;ES ;SERRA ;CIVIT II ;RUA COMENDADOR ALCIDES SIMAO HELOU, N. S/N, LT 01A, QDR 14D ;2.014.957,20;4.000.000,00;49.63;Comercial, 0.00 de área total, 0.00 de área privativa, 4980.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006842
 8787711685383 ;ES ;SERRA ;OURIMAR ;RUA DOMINEU RODY SANTANA, N. 406, Apto 203, BL 18 VG 85 ;87.819,45;150.000,00;41.46;Apartamento, 0.00 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711685383
 8787711992626 ;ES ;SERRA ;OURIMAR ;RUA DOMINEU RODY SANTANA, N. 406, Apto 303, BL 13 VAGA 198 ;81.964,82;140.000,00;41.46;Apartamento, 0.00 de área total, 41.85 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711992626
 8444425339123 ;ES ;SERRA ;NOVO HORIZONTE ;RUA UIRAPURU, N. 1018, Apto 204H, BL 08 ;100.741,08;170.000,00;40.75;Apartamento, 0.00 de área total, 54.38 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444425339123
 8787706017874 ;ES ;SERRA ;RESIDENCIAL CENTRO DA SERRA ;AVENIDA PAU BRASIL, N. 321, Apto 207,  TORRE F ;93.629,95;158.000,00;40.75;Apartamento, 0.00 de área total, 44.54 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706017874
